,S_tr,S_va,E_cut,Th_cut,Gamma_cut
EfficientNet_B0_dropout08,18.13039191829871,14.770978917519926,[2.21867302],[0.01282204],[0.99998806]
efficientNet_B2_DropConnect_0.99,21.895949947729495,15.522580167275832,[2.21867302],[0.01282204],[0.97618102]
efficientNet_B2_DropConnect_0.5,27.812866726670872,21.648160594906376,[2.36971627],[0.01282204],[0.99996157]
efficientNet_B3_last3_lin,22.0,33.0,[2.52075952],[0.01282204],[0.99587537]
efficientNet_B2_DropConnect_0.8,18.85980667165779,16.793786053180504,[2.36971627],[0.01282204],[0.99928576]
efficientNet_B4_last3,16.74315780649915,6.7082039324993685,[2.36971627],[0.01282204],[0.99260002]
efficientNet_B2_last3_lin,19.50250819989461,14.289419162443238,[2.36971627],[0.01282204],[0.99260002]
efficientNet_B0_DropConnect_0.7,22.045407685048605,17.008401285415225,[2.36971627],[0.01282204],[0.99999335]
efficientNet_B2_DropConnect_0.75,19.677398201998148,15.118578920369089,[2.21867302],[0.01282204],[0.997701]
efficientNet_B0_DropConnect_0.2,19.643701280563192,11.818639200776863,[2.21867302],[0.01282204],[0.92333178]
efficientNet_B0_DropConnect_0.5,16.392696449773293,10.862780491200215,[2.21867302],[0.01282204],[0.99928576]
efficientNet_B3_last3,24.528894525980306,20.495934556231717,[2.36971627],[0.01282204],[0.99587537]
efficientNet_B2_last3,20.124611797498105,25.37088524631764,[2.36971627],[0.01282204],[0.99260002]
efficientNet_B4_last3_lin,20.506096654409877,10.0,[2.21867302],[0.01282204],[0.99928576]
efficientNet_B2_DropConnect_0.9,21.633307652783937,12.060453783110544,[2.21867302],[0.01282204],[0.99999989]
